image_path,category,defect_type,is_defect,fault_class,defect_area_ratio,vibration_file,vibration_severity,vibration_window_idx,fault_class_idx,sample_id
data/raw/mvtec/bottle/train/good/000.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,3,-1,00000
data/raw/mvtec/bottle/train/good/001.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,62,-1,00001
data/raw/mvtec/bottle/train/good/002.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,17,-1,00002
data/raw/mvtec/bottle/train/good/003.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,173,-1,00003
data/raw/mvtec/bottle/train/good/004.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,151,-1,00004
data/raw/mvtec/bottle/train/good/005.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,4,-1,00005
data/raw/mvtec/bottle/train/good/006.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,23,-1,00006
data/raw/mvtec/bottle/train/good/007.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,59,-1,00007
data/raw/mvtec/bottle/train/good/008.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,143,-1,00008
data/raw/mvtec/bottle/train/good/009.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,183,-1,00009
data/raw/mvtec/bottle/train/good/010.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,28,-1,00010
data/raw/mvtec/bottle/train/good/011.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,150,-1,00011
data/raw/mvtec/bottle/train/good/012.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,207,-1,00012
data/raw/mvtec/bottle/train/good/013.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,97,-1,00013
data/raw/mvtec/bottle/train/good/014.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,178,-1,00014
data/raw/mvtec/bottle/train/good/015.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,87,-1,00015
data/raw/mvtec/bottle/train/good/016.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,39,-1,00016
