image_path,category,defect_type,is_defect,fault_class,defect_area_ratio,vibration_file,vibration_severity,vibration_window_idx,fault_class_idx,sample_id
data/raw/mvtec/screw/train/good/226.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,68,-1,808
data/raw/mvtec/bottle/train/good/122.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,140,-1,122
data/raw/mvtec/screw/train/good/194.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,40,-1,776
data/raw/mvtec/bottle/train/good/172.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,98,-1,172
data/raw/mvtec/metal_nut/train/good/082.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,93,-1,374
data/raw/mvtec/bottle/train/good/163.png,bottle,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,9,-1,163
data/raw/mvtec/screw/train/good/064.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,0,-1,646
data/raw/mvtec/screw/train/good/135.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,138,-1,717
data/raw/mvtec/screw/train/good/180.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,1,-1,762
data/raw/mvtec/capsule/train/good/139.png,capsule,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,139,-1,1155
data/raw/mvtec/screw/train/good/132.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,68,-1,714
data/raw/mvtec/metal_nut/train/good/138.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,110,-1,430
data/raw/mvtec/screw/train/good/173.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,132,-1,755
data/raw/mvtec/screw/test/scratch_neck/010.png,screw,scratch_neck,1,outer_race,0.0043954849243164,data/raw/cwru/cwru/OR0146_0.mat,14.0,18,0,977
data/raw/mvtec/metal_nut/train/good/167.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,159,-1,459
data/raw/mvtec/screw/train/good/207.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,45,-1,789
data/raw/mvtec/screw/train/good/225.png,screw,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,28,-1,807
data/raw/mvtec/bottle/test/broken_large/001.png,bottle,broken_large,1,inner_race,0.0946185185185185,data/raw/cwru/cwru/IR014_3.mat,14.0,9,1,251
data/raw/mvtec/screw/test/scratch_head/006.png,screw,scratch_head,1,outer_race,0.0024662017822265,data/raw/cwru/cwru/OR0216_3.mat,21.0,26,0,949
data/raw/mvtec/metal_nut/train/good/027.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,74,-1,319
data/raw/mvtec/capsule/train/good/186.png,capsule,good,0,none,0.0,data/raw/cwru/cwru/Normal_0.mat,,45,-1,1202
data/raw/mvtec/screw/test/manipulated_front/008.png,screw,manipulated_front,1,ball,0.003631591796875,data/raw/cwru/cwru/B007_3.mat,7.0,31,2,1000
data/raw/mvtec/capsule/train/good/095.png,capsule,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,132,-1,1111
data/raw/mvtec/capsule/test/scratch/013.png,capsule,scratch,1,outer_race,0.00309,data/raw/cwru/cwru/OR0146_2.mat,14.0,0,0,1271
data/raw/mvtec/metal_nut/train/good/002.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,153,-1,294
data/raw/mvtec/capsule/test/good/011.png,capsule,good,0,none,0.0,data/raw/cwru/cwru/Normal_1.mat,,148,-1,1246
data/raw/mvtec/metal_nut/train/good/009.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_2.mat,,19,-1,301
data/raw/mvtec/screw/test/scratch_head/016.png,screw,scratch_head,1,outer_race,0.0019941329956054,data/raw/cwru/cwru/OR0216_0.mat,21.0,3,0,959
data/raw/mvtec/metal_nut/train/good/147.png,metal_nut,good,0,none,0.0,data/raw/cwru/cwru/Normal_3.mat,,116,-1,439
